name,lane,notes
BiT DMS,dms,Chris uses it daily; strongest domain fit
Lightspeed,dms,Has marine/powersports DMS products
CDK Global,dms,Includes recreation/powersports DMS
Dealer Spike,dms,Powersports/marine/RV dealer websites and CRM
DockMaster,dms,Marine DMS
Ideal Computer Systems,dms,OPE/powersports/marine DMS
ServiceTitan,dms,Vertical SaaS for service businesses
Jobber,dms,Field-service SaaS
Housecall Pro,dms,Field-service SaaS
Shopify,auto,Chris works in Shopify daily
Zapier,auto,Automation platform
n8n,auto,Automation platform; Chris has interest in it
Make,auto,Automation platform
Workato,auto,Enterprise automation
Aventon,oem,Chris manages the Aventon line
Rad Power Bikes,oem,eBike brand
Specialized,oem,Bike/eBike brand
Trek Bicycle,oem,Bike/eBike brand
Johnson Outdoors,oem,Old Town parent
Hobie,oem,Chris sells the line
Brunswick,oem,Mercury Marine parent
Yamaha Motor,oem,Marine and powersports
MarineMax,ops,Large marine dealer group
OneWater Marine,ops,Large marine dealer group
